qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q867510,Cypresses,Vincent van Gogh,1889,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,12,9284,40.7,Cypresses (Metropolitan Museum of Art),http://commons.wikimedia.org/wiki/Special:FilePath/Cypresses%20MET%20DP130999.jpg
Q1117094,The Crowning with Thorns,Caravaggio,1602,Austria,Austria,Austria,Kunsthistorisches Museum,Kunsthistorisches Museum,48.203880555,16.3616,11,9814,40.7,"The Crowning with Thorns (Caravaggio, Vienna)",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Crowning%20with%20Thorns-Caravaggio%20%281602%29.jpg
Q3208312,The Distribution of the Eagle Standards,Jacques-Louis David,1810,France,France,France,Palace of Versailles,Sacre Hall,48.804722222,2.120277777,11,9927,40.7,The Distribution of the Eagle Standards,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Louis%20David%20-%20Serment%20de%20l%27arm%C3%A9e%20fait%20%C3%A0%20l%27Empereur%20apr%C3%A8s%20la%20distribution%20des%20aigles%2C%205%20d%C3%A9cembre%201804%20-%20Google%20Art%20Project.jpg
Q11531476,Pine Trees,Hasegawa Tōhaku,1580,Japan,Japan,Asia,Tokyo National Museum,Tokyo National Museum,35.718888888,139.776388888,11,9917,40.7,Shōrin-zu byōbu,http://commons.wikimedia.org/wiki/Special:FilePath/Hasegawa%20Tohaku%20-%20Pine%20Trees%20%28Sh%C5%8Drin-zu%20by%C5%8Dbu%29%20-%20left%20hand%20screen.jpg
Q6411359,King Cophetua and the Beggar Maid,Edward Burne-Jones,1884,United Kingdom,United Kingdom,United Kingdom,National Gallery,Tate Britain,51.491062,-0.127789,10,10631,40.7,King Cophetua and the Beggar Maid (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20Burne-Jones%20-%20King%20Cophetua%20and%20the%20Beggar%20Maid%20-%20Google%20Art%20Project.jpg
Q2278818,Agostina Segatori Sitting in the Café du Tambourin,Vincent van Gogh,1887,Netherlands,Netherlands,Netherlands,Van Gogh Museum,Van Gogh Museum,52.358333333,4.881111111,22,4581,40.6,Agostina Segatori Sitting in the Café du Tambourin,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20In%20the%20caf%C3%A9%20-%20Agostina%20Segatori%20in%20Le%20Tambourin%20-%20Google%20Art%20Project%202.jpg
Q23922,Woman with a Mirror,Titian,1515,France,France,France,Department of Paintings of the Louvre,"Salle des États, Louvre",48.8601,2.3354,18,6046,40.6,Woman with a Mirror,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27une%20Femme%20%C3%A0%20sa%20Toilette%2C%20by%20Titian%2C%20from%20C2RMF%20retouched.jpg
Q2841473,Bridal Procession on the Hardangerfjord,Adolph Tidemand,1848,Norway,Norway,Europe other,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",59.91162657,10.729235164,17,6462,40.6,Bridal Procession on the Hardangerfjord,http://commons.wikimedia.org/wiki/Special:FilePath/Adolph%20Tidemand%20%26%20Hans%20Gude%20-%20Bridal%20Procession%20on%20the%20Hardangerfjord%20-%20Google%20Art%20Project.jpg
Q1195238,The Garden of Love,Peter Paul Rubens,1630,Spain,Spain,Spain,Museo del Prado,Flanders,51.0,4.5,14,7847,40.6,The Garden of Love (Rubens),http://commons.wikimedia.org/wiki/Special:FilePath/El%20Jard%C3%ADn%20del%20Amor%20%28Rubens%29.jpg
Q4148585,Autumn Leaves,John Everett Millais,1856,United Kingdom,United Kingdom,United Kingdom,Manchester Art Gallery,Manchester Art Gallery,53.478611111,-2.241388888,14,7858,40.6,Autumn Leaves (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Millais%20-%20Herbstbl%C3%A4tter.jpg
